title,agency,career_level,salary_range_from,salary_range_to
Initiative Manager,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),59116,91768
DIRECTOR- MAP MEDICAID ELIGIBILITY OPERATIONS,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),66322,98830
Distribution Planning Manager- Bureau of Emergency Field Operations,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),63952,83000
Deputy Director,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),56972,123150
Vaccination Activities Coordinator- Bureau of Immunization,DEPT OF HEALTH/MENTAL HYGIENE,Entry-Level,70087,70087
Supervisor Carpenter,NYC HOUSING AUTHORITY,Experienced (non-manager),56.8,56.8
Executive Program Manager,DEPT OF ENVIRONMENT PROTECTION,Manager,72038,192152
Procurement Analyst,OFF OF PAYROLL ADMINISTRATION,Experienced (non-manager),60010,100875
Assistant Agency Chief Contracting Officer- Office of the Agency Chief Contracting Officer,DEPT OF HEALTH/MENTAL HYGIENE,Manager,64922,120000
Community Coordinator,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),54100,83981
Assistant Housing Manager for LHD - Inspections,NYC HOUSING AUTHORITY,Manager,49609,77454
Claims Specialist III- Real Property Division,OFFICE OF THE COMPTROLLER,Experienced (non-manager),60132,69152
SPECIAL COUNSEL TO THE GENERAL COUNSEL,HRA/DEPT OF SOCIAL SERVICES,Manager,72038,192152
Education/Youth Liaison,BOROUGH PRESIDENT-BRONX,Entry-Level,38333,63794
ARCHITECTURAL INTERN,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,51413,62260
Agency Attorney Level I,POLICE DEPARTMENT,Experienced (non-manager),63228,96526
City Seasonal Aide,DEPT OF PARKS & RECREATION,Entry-Level,15.45,15.45
City Seasonal Aide,DEPT OF PARKS & RECREATION,Entry-Level,15.45,15.45
Automotive Service Worker,DEPT OF PARKS & RECREATION,Entry-Level,17.47,17.47
Director- Riker's Island Central Cashier (RICC),DEPARTMENT OF CORRECTION,Experienced (non-manager),95000,113550
Crime Victim Advocate: Violence Response Specialist,BRONX DISTRICT ATTORNEY,Experienced (non-manager),62215,62215
DIRECTOR- COMPLIANCE,HRA/DEPT OF SOCIAL SERVICES,Manager,94715,102052
Project Manager- Employer Engagement,DEPT OF YOUTH & COMM DEV SRVS,Entry-Level,54100,83000
Capital Program Property Liaison,NYC HOUSING AUTHORITY,Experienced (non-manager),54100,83981
BOROUGH CERTIFICATION MANAGER,DEPARTMENT OF CITY PLANNING,Experienced (non-manager),73294,88000
Gardener,DEPT OF PARKS & RECREATION,Entry-Level,20.7902,23.91
Community Coordinator,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),59116,91768
Administrative Coordinator,DEPARTMENT OF CORRECTION,Experienced (non-manager),67499,76695
Risk Officer (Asset Management),OFFICE OF THE COMPTROLLER,Manager,110000,133900
City Research Scientist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),64140,77609
Assistant Corporation Counsel - Contracts and Real Estate,LAW DEPARTMENT,Experienced (non-manager),73579,133040
Project Manager,NYC HOUSING AUTHORITY,Experienced (non-manager),59116,91768
Claims Review Specialist,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),37748,57043
Initiative Manager,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),59116,91768
EXECUTIVE ASSISTANT TO THE ACCO,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),58695,89699
Assistant Civil Engineer,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),57078,65640
ASSISTANT COMMISSIONER-EMPLOYMENT,HUMAN RIGHTS COMMISSION,Manager,125000,125000
Division Chief of IT Support,DEPT OF ENVIRONMENT PROTECTION,Manager,72038,192152
Agency Attorney Intern - Information,DEPARTMENT OF FINANCE,Entry-Level,71757,75760
Borough Supervisor,DEPT OF ENVIRONMENT PROTECTION,Manager,62475,78345
Manhattan Borough Custodian,LAW DEPARTMENT,Experienced (non-manager),45811,51766
Project Manager- Sustainability Enforcement,DEPARTMENT OF BUILDINGS,Experienced (non-manager),54990,82000
Fiscal officer,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),58700,173486
EAP SPECIALIST,FIRE DEPARTMENT,Experienced (non-manager),54878,59180
Investment Officer- Fixed Income,OFFICE OF THE COMPTROLLER,Manager,110000,133900
RESEARCH ANALYST,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),70611,105138
Supervising Assistant District Attorney: Discovery Compliance Bureau,BRONX DISTRICT ATTORNEY,Manager,135000,165000
CASE MANAGEMENT SUPERVISOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),51869,59649
EXECUTIVE REGIONAL MANAGER,HRA/DEPT OF SOCIAL SERVICES,Manager,135000,170000
Program Assistant â Law Library Services,DEPARTMENT OF CORRECTION,Experienced (non-manager),40667,46767
Senior Auditor,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),72063,97850
Community Coordinator,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),54100,83981
Contract Payment Specialist,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,40017,62820
Public Health Educator- Bureau of Environmental Disease and Injury Prevention,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),53604,60573
Prosecuting Attorney,TAXI & LIMOUSINE COMMISSION,Experienced (non-manager),63228,72712
Assessing & Resolving Cases Attorney,HUMAN RIGHTS COMMISSION,Experienced (non-manager),79620,117541
Senior Advisor- Office of Development,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),100000,109407
Mechanical Engineer,DEPT OF CITYWIDE ADMIN SVCS,Experienced (non-manager),95000,103631
Croton Regional Engineer,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),81571,119554
Collections Management Archivist,DEPT OF RECORDS & INFO SERVICE,Experienced (non-manager),57837,66512
Assistant Inspector General,DEPARTMENT OF INVESTIGATION,Experienced (non-manager),64230,80850
Operations Support - Director,FINANCIAL INFO SVCS AGENCY,Manager,150000,160000
Early Intervention Official Designee- Bureau of Early Intervention,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),56625,56625
PLASTERER,NYC HOUSING AUTHORITY,Entry-Level,48.27,48.27
Outreach Intern,TAXI & LIMOUSINE COMMISSION,Student,15.5,16
HOUSING FINANCE ANALYST,DEPT. OF HOMELESS SERVICES,Experienced (non-manager),53702,146121
Job Order Contract Project Manager,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,74041,107227
ASSISTANT HOUSING MANAGER (HA),NYC HOUSING AUTHORITY,Experienced (non-manager),49609,77454
Director of Legislative Affairs- Bureau of Government Affairs,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),96772,120000
OTPS BUDGET MANAGER,FIRE DEPARTMENT,Experienced (non-manager),65232,151810
Data Engineer,DEPT OF PARKS & RECREATION,Experienced (non-manager),75504,94761
Data Engineer,DEPT OF PARKS & RECREATION,Experienced (non-manager),75504,94761
Childcare Inspection Supervisor,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),60437,93935
Summer Intern,DEPARTMENT OF TRANSPORTATION,Student,15,17.5
Deputy Director- Neighborhood Development Areas (NDA) Initiative,DEPT OF YOUTH & COMM DEV SRVS,Manager,58700,99000
SENIOR PROJECT MANAGER- ADULT EDUCATION & TRAINING,NYC HOUSING AUTHORITY,Experienced (non-manager),60793,91234
Maternal and Child Health Analyst- Bureau of Maternal Infant and Reproductive Health,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),70087,70087
IT Project Manager,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),78795,99860
EXECUTIVE ASSISTANT,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),58695,67499
HR/ Records Control/ Health Benefits Coordinator,NYC HOUSING AUTHORITY,Experienced (non-manager),41887,69709
Director- Financial Analysis and Planning,DEPT OF CITYWIDE ADMIN SVCS,Experienced (non-manager),110000,125000
Parks Enforcement Patrol,DEPT OF PARKS & RECREATION,Entry-Level,50635,50635
Control Specialist,DEPT OF CITYWIDE ADMIN SVCS,Experienced (non-manager),398.02,398.02
Syringe Services Program Contract Manager- Bureau of Alcohol and Drug Use- Prevention- Care- and Treatment,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),82506,86830
CASE MANAGEMENT SUPERVISOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),56677,65179
City Park Worker,DEPT OF PARKS & RECREATION,Entry-Level,18.17,20.9
City Park Worker,DEPT OF PARKS & RECREATION,Entry-Level,18.17,20.9
Director of Employee Services â Bureau Administrator,DEPT OF ENVIRONMENT PROTECTION,Manager,80931,208826
Senior Project Officer- Division Management & Systems Coordination,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),84468,97138
EMPLOYEE ASSISTANCE PROGRAM SPECIALIST,FIRE DEPARTMENT,Experienced (non-manager),54878,98537
Office Associate-  Bureau of Early Intervention,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),32217,50000
Deputy Treasurer,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),102292,140000
Contract and Administration Unit Lead,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),65232,151810
Data Entry Specialist,ADMIN FOR CHILDREN'S SVCS,Experienced (non-manager),32520,37398
Electrician,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),440.16,440.16
Prosecuting Attorney,TAXI & LIMOUSINE COMMISSION,Experienced (non-manager),63228,72712
Diversity- Equity- and Inclusion College Aide,DEPT OF RECORDS & INFO SERVICE,Student,15.5,19.9
Assistant Process Engineer,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),57078,85646
Staff Physician,DEPARTMENT OF CORRECTION,Experienced (non-manager),78.04,83.61
SCADA Support Specialist,DEPT OF ENVIRONMENT PROTECTION,Manager,85371,109990
IT Support Specialist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),76584,112111
DIRECTOR OF ACCOUNTABILITY SUPPORT SERVICES,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),94715,118450
Project Manager,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),67500,77500
Environmental Specialist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),74650,109409
Assistant District Attorney -  Crime Strategies Bureau,BRONX DISTRICT ATTORNEY,Experienced (non-manager),80000,167610
Associate Director  EDUCATION,OFFICE OF MANAGEMENT & BUDGET,Executive,185886,185886
Desktop Support Engineer,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),54281,77250
DIRECTOR CERTIFICATION PARTNERSHIPS,DEPARTMENT OF BUSINESS SERV.,Manager,64749,85000
Real Estate Appraiser for the Acquisition and Land Valuation Unit,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),73595,84634
Police Administrative Aide,POLICE DEPARTMENT,Experienced (non-manager),36390,55228
Office Associate- Bureau of Early Intervention,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),40017,50000
Collections Management Archivist,DEPT OF RECORDS & INFO SERVICE,Experienced (non-manager),57837,66512
Timekeeper: Human Resources,BRONX DISTRICT ATTORNEY,Experienced (non-manager),51000,51000
Plan Examiner- Energy Code,DEPARTMENT OF BUILDINGS,Experienced (non-manager),74041,85147
Claims Review Specialist,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),37748,57043
Inspector- Bureau of Veterinary and Pest Control Services,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),45722,52580
Program Coordinator- Workforce Development,DEPARTMENT OF CORRECTION,Entry-Level,54100,62215
Property Owner Liaison for the Division of Tenant Resources,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),59116,67983
Division Chief- Real Property,OFFICE OF THE COMPTROLLER,Manager,80000,95000
Strategic Projects Analyst,TAXI & LIMOUSINE COMMISSION,Experienced (non-manager),62470,80008
Machinist,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,37.28,37.28
PARALEGAL (PART-TIME) - ICSU,LAW DEPARTMENT,Experienced (non-manager),23.6437,27.1905
PARALEGAL (PART-TIME) - ICSU,LAW DEPARTMENT,Experienced (non-manager),23.6437,27.1905
SUPERVISING ATTORNEY-EMPLOYMENT,HUMAN RIGHTS COMMISSION,Manager,95000,115000
SUPERVISING ATTORNEY - HOUSING AND PUBLIC ACCOMMODATIONS,HUMAN RIGHTS COMMISSION,Manager,95000,115000
SENIOR POLICY ADVISOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),71423,85698
Assistant Process Engineer,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),75504,94761
SUPERVISOR PLUMBER,NYC HOUSING AUTHORITY,Experienced (non-manager),55.29,55.29
ENGAGEMENT COORDINATOR,DEPT. OF HOMELESS SERVICES,Experienced (non-manager),54100,62215
POLICY ADVISOR- DATA MANAGEMENT & ANALYSIS,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),75504,83901
Career Coach/Deputy Director- Learning & Employee Engagement,DEPARTMENT OF FINANCE,Experienced (non-manager),94715,114000
Design Engineer,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),62370,71726
Fiscal Officer,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),53057,77124
Medical Director- Bureau of Clinical Quality Management and Improvement,DEPT OF HEALTH/MENTAL HYGIENE,Manager,72038,125000
Operations Coordinator,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),71742,82503
Civil Engineer II,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),80557,111917
Agency Attorney IV,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),83158,125681
Internal Staff Auditor,DEPT OF CITYWIDE ADMIN SVCS,Experienced (non-manager),56013,64415
Special Assistant for Assistant Commissioner- Bureau of Human Resources and Labor Relations,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),74710,80568
Assistant Corporation Counsel - Family Court,LAW DEPARTMENT,Entry-Level,73579,75121
PAYMENT SPECIALIST,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),40017,62820
Early Childhood Education Consultant,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),66442,91234
HOUSING EXTERMINATOR L1,NYC HOUSING AUTHORITY,Entry-Level,33558,54820
Project Engineer,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),53702,148745
SILVER STARS - Administrative Assistant,DEPARTMENT OF INVESTIGATION,Experienced (non-manager),19.9179,24.13
PRINCIPAL ASSISTANT TO DEPUTY COMMISSIONER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),58695,67499
ENGINEERING TECHNICIAN III,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),49003,72195
Senior Environmental Planner for the Division of Building and Land Development Services,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),75504,86830
Child Care Inspector- Bureau of Child Care,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),45722,45722
Civil Engineer 3,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),90114,122168
CITY PLANNER,DEPARTMENT OF SANITATION,Experienced (non-manager),73294,107071
Database Administrator,TAXI & LIMOUSINE COMMISSION,Experienced (non-manager),98901,120000
Manhattan/Bronx Inspector Supervisor,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),56069,64479
AGENCY ATTORNEY II,HUMAN RIGHTS COMMISSION,Experienced (non-manager),71423,107032
LEGAL ASSISTANCE HOUSING COURT LIAISON,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),53057,61015
Senior Investment Officer- Alternative Credit,OFFICE OF THE COMPTROLLER,Manager,160000,175000
Compliance Technician- Bureau of Network Technology Services,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),54281,77250
Paralegal - Special Federal Litigation,LAW DEPARTMENT,Experienced (non-manager),43197,49677
Blaze Architect,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),120000,130000
Director of Open Restaurants,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),78128,118657
Case Navigator - Corrections and Amendments Unit (CAU)- Bureau of Vital Statistics,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),40017,50000
CARETAKER X (HA),NYC HOUSING AUTHORITY,Entry-Level,31836,46278
Quality Assurance Project Manager,DEPT OF PARKS & RECREATION,Experienced (non-manager),90000,95000
Executive Director,OFFICE OF THE COMPTROLLER,Executive,150000,165000
Fleet Project Coordinator,DEPT OF PARKS & RECREATION,Experienced (non-manager),59116,91768
Fleet Project Coordinator,DEPT OF PARKS & RECREATION,Experienced (non-manager),59116,91768
Budget Analyst,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),62470,80008
Lead Auditor,OFFICE OF THE COMPTROLLER,Experienced (non-manager),76000,82000
FIELD ELIGIBILITY VERIFICATION SPECIALIST,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),53057,61015
Data Analytics Specialist,DEPARTMENT OF FINANCE,Experienced (non-manager),80517,86830
Office Associate-  Bureau of Early Intervention,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),32217,50000
DIRECTOR OF COMMUNITY EDUCATION AND OUTREACH,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),64749,134280
Solution Architect,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),100000,180000
Supervisor of Audits and Accounts,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),58700,88070
Prosecution Call Center Agent,TAXI & LIMOUSINE COMMISSION,Experienced (non-manager),37413,60310
LAW CLERK,ADMIN TRIALS AND HEARINGS,Experienced (non-manager),71423,82137
Electrician,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),62.88,62.88
Paralegal,DEPARTMENT OF BUILDINGS,Experienced (non-manager),47203,54283
Plan Examiner- Energy Code,DEPARTMENT OF BUILDINGS,Experienced (non-manager),74041,85147
Senior Counsel,DEPT OF ENVIRONMENT PROTECTION,Manager,58700,161534
CLAIMS EXAMINER,FIRE DEPARTMENT,Experienced (non-manager),41389,47597
Surveillance Case Investigator / Public Health Advisor II- Bureau of Immunization,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),51528,58566
Program Manager,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),54100,83981
Compliance Manager- Single Family Home Resiliency,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),90000,100000
MEDICOLEGAL ANALYST,LAW DEPARTMENT,Experienced (non-manager),69546,74998
Contract Coordinator for Forestry- Horticulture and Natural Resources,DEPT OF PARKS & RECREATION,Experienced (non-manager),59116,91768
Contract Coordinator for Forestry- Horticulture and Natural Resources,DEPT OF PARKS & RECREATION,Experienced (non-manager),59116,91768
DIRECTOR- CAPACITY BUILDING,DEPARTMENT OF BUSINESS SERV.,Manager,64749,83000
Associate Chemist II,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),63695,94472
Senior Business Analyst for the Division of HPD Tech,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),97809,112480
CASE MANAGEMENT TEAM LEADER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),60793,69912
SUSTAINABILITY ANALYST,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,51535,59265
Investigations Division: Major Case Assistant District Attorney,BRONX DISTRICT ATTORNEY,Experienced (non-manager),115000,165000
Supervising Office Manager,FIRE DEPARTMENT,Experienced (non-manager),59116,91768
Public Health Educator- Bureau of Environmental Disease and Injury Prevention,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),53604,60573
Director of Planning & Procurement,DEPT OF ENVIRONMENT PROTECTION,Executive,80931,208826
Clinical Care Coordinator- Bureau of Mental Health,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),70488,82086
Foodborne Intern- Bureau of Communicable Diseases,DEPT OF HEALTH/MENTAL HYGIENE,Student,15.5,19.9
